Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
470000,3.4189382,0.17153,79.87301587301587,0.1915328,0.27967104,0.00027195003,0.19065002,0.00045418506,0.15625,0.15625,1.0
475000,3.4189384,0.5713207,69.12121212121212,0.8246848,0.3199697,0.00027164872,0.19054955,0.0004536928,0.15151515151515152,0.15151515151515152,1.0
480000,3.4189384,0.13223545,69.1875,0.0036632922,0.39244318,0.0002713475,0.19044916,0.0004532009,0.15625,0.15625,1.0
485000,3.4189384,0.7712884,71.296875,0.43670756,0.25871038,0.0002710482,0.1903494,0.00045271206,0.171875,0.171875,1.0
490000,3.4189382,-0.35921004,73.26229508196721,0.20477153,0.31449744,0.00027074604,0.19024867,0.00045221846,0.16393442622950818,0.16393442622950818,1.0
495000,3.4189384,0.3054855,69.45614035087719,0.14447603,0.28241876,0.00027044967,0.19014989,0.00045173444,0.17543859649122806,0.17543859649122806,1.0
500000,3.4189382,0.16887203,186.67391304347825,0.43170244,0.43876874,0.00027015357,0.1900512,0.0004512508,0.4090909090909091,0.4090909090909091,1.0
505000,3.418938,0.14630976,110.76470588235294,0.12260299,0.2977074,0.00026986114,0.1899537,0.0004507732,0.9142857142857143,0.9142857142857143,1.0
510000,3.418938,0.6861078,80.11320754716981,0.69589734,0.29836085,0.0002695465,0.18984881,0.00045025922,0.18181818181818182,0.18181818181818182,1.0
515000,3.4189382,0.017242538,87.81132075471699,0.006598482,0.27864692,0.0002692421,0.18974736,0.00044976204,0.18867924528301888,0.18867924528301888,1.0
520000,3.4189384,0.21885392,69.59322033898304,0.11481206,0.27171925,0.00026894698,0.18964903,0.00044928005,0.18333333333333332,0.18333333333333332,1.0
525000,3.4189382,-0.007502037,91.25,0.11731603,0.4379814,0.00026864736,0.18954912,0.0004487906,0.15625,0.15625,1.0
530000,3.4189382,0.024560979,69.22222222222223,0.1309015,0.2758945,0.00026835254,0.18945085,0.00044830912,0.15625,0.15625,1.0
535000,3.4189384,0.15966758,69.05882352941177,0.13819441,0.27386183,0.00026805385,0.18935128,0.00044782125,0.14925373134328357,0.14925373134328357,1.0
540000,3.4189382,0.039615136,112.33333333333333,0.09354945,0.27976727,0.00026774997,0.18924999,0.00044732494,0.14492753623188406,0.14492753623188406,1.0
545000,3.4189384,0.04369919,68.97183098591549,0.10058316,0.2582369,0.00026745317,0.18915105,0.00044684016,0.1388888888888889,0.1388888888888889,1.0
550000,3.4189384,0.08985086,69.12121212121212,0.13896441,0.3160166,0.00026715055,0.18905018,0.0004463459,0.15151515151515152,0.15151515151515152,1.0
